year;id;title;total value;property value;tickets value;advertising value;touring value;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare;
2024;7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";89 669 698,95 ;22 081 128,40 ;55 964 086,54 ;10 208 000,00 ;1 038 940,00 ;0,223057379;0,054927792;0,139213163;0,025392856;0,00258441;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7719013636;"ГБУК г. Москвы ""МДТТ""";24 065 618,97 ;0,00 ;24 001 092,08 ;0,00 ;0,00 ;0,059864301;0;0,059703788;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";395 755 951,82 ;30 866 026,31 ;225 768 163,87 ;0,00 ;800 000,00 ;0,984460595;0,076780618;0,561608385;0;0,001990036;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";11 182 840,40 ;0,00 ;11 183 420,40 ;0,00 ;0,00 ;0,027817815;0;0,027819257;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";507 627 561,45 ;27 784 958,01 ;435 267 439,70 ;3 021 600,00 ;16 820 000,00 ;1,262746217;0,069116323;1,082747185;0,007516365;0,041840501;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";700 254 375,31 ;11 374 767,36 ;456 518 376,59 ;0,00 ;0,00 ;1,741914015;0,028295242;1,135609839;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";689 741 064,59 ;28 647 473,10 ;620 371 009,89 ;0,00 ;17 688 000,00 ;1,715761685;0,071261868;1,543200578;0;0,04399969;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";115 701 870,60 ;0,00 ;115 793 133,47 ;0,00 ;0,00 ;0,287813568;0;0,288040588;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";5 250 856,80 ;35 000,00 ;5 197 856,80 ;0,00 ;0,00 ;0,013061741;8,70641E-05;0,012929901;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";201 964 472,47 ;16 612 358,59 ;128 143 118,07 ;0,00 ;14 661 400,00 ;0,50239564;0,041323983;0,318761726;0;0,036470887;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";48 260 138,65 ;933 495,00 ;45 514 668,88 ;0,00 ;0,00 ;0,120049249;0,00232211;0,11321977;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7701109200;"ГБУК г. Москвы ""Московский театр кукол""";102 052 030,88 ;709 600,49 ;94 424 212,60 ;0,00 ;0,00 ;0,253858982;0,001765163;0,234884443;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";323 190 561,73 ;40 295 610,52 ;283 627 689,92 ;92 160,00 ;1 700 000,00 ;0,803950948;0,10023713;0,705536538;0,000229252;0,004228826;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";28 608 433,00 ;0,00 ;26 375 576,00 ;0,00 ;0,00 ;0,071164754;0;0,065610423;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";257 977 431,77 ;121 789 408,00 ;2 548 513,00 ;0,00 ;0,00 ;0,641730376;0,302956589;0,00633954;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";82 675 547,43 ;0,00 ;76 102 693,75 ;0,00 ;0,00 ;0,205659114;0;0,189308848;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7704198381;"ГБУК г. Москвы ""МТКМО ""Градский Холл""";70 066 611,35 ;29 690 784,24 ;43 092 518,48 ;0,00 ;0,00 ;0,174293823;0,073857151;0,107194563;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";59 342 514,04 ;3 438 550,91 ;56 001 659,26 ;0,00 ;0,00 ;0,147617152;0,008553549;0,139306627;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710130279;"ГБУК г. Москвы ""МТЮЗ""";262 300 743,95 ;0,00 ;243 459 137,28 ;0,00 ;14 985 802,50 ;0,652484808;0;0,605615471;0;0,037277853;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7716028803;"ГБУК г. Москвы ""Новый драматический театр""";40 236 201,56 ;1 576 299,16 ;31 224 398,03 ;0,00 ;3 073 010,00 ;0,100089347;0,003921115;0,077672084;0;0,00764425;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7702069567;"ГБУК г. Москвы ""РДТ ""ГЛАС""";7 836 986,63 ;0,00 ;6 625 989,60 ;0,00 ;0,00 ;0,019494854;0;0,016482445;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710593781;"ГБУК г. Москвы ""Театр ""Практика""";85 241 285,79 ;243 178,80 ;68 178 925,00 ;0,00 ;2 234 200,00 ;0,212041503;0,000604918;0,169598119;0;0,005557672;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";162 749 257,83 ;2 138 480,33 ;160 313 200,00 ;0,00 ;0,00 ;0,404846043;0,005319565;0,398786241;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";74 256 349,25 ;1 969 640,08 ;44 323 130,00 ;5 985 000,00 ;1 907 200,00 ;0,184715983;0,004899568;0,110255764;0,014887955;0,004744245;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703001970;"ГБУК г. Москвы ""Театр - Сцена ""Мельников""";84 647 089,88 ;0,00 ;73 930 883,80 ;0,00 ;3 010 000,00 ;0,210563414;0;0,183906373;0;0,007487509;1;0,046560353;0,790980203;0,00668197;0,033837788;
